Model,mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
Model 1,1,0.513718033,1,0,0.010536395,0,0
Model 1,2,0.538142276,0.999910515,0,0.011224397,0.000122533,0
Model 1,3,0.546173257,0.932211461,0.102679245,0.01059894,0.00637485,0.013838249
Model 2,1,0.511297327,1,0,0.007837405,0,0
Model 2,2,0.533596869,1,0,0.016712612,0,0
Model 2,3,0.53494653,0.949482948,0.066976668,0.02096072,0.003508644,0.011029791
Model 3,1,0.509028933,1,0,0.006731988,0,0
Model 3,2,0.52908664,1,0,0.010447469,0,0
Model 3,3,0.540214375,0.927647653,0.104580466,0.01350622,0.002503554,0.013700666
Model 4,1,0.505115853,1,0,0.009146393,0,0
Model 4,2,0.52762788,1,0,0.016524369,0,0
Model 4,3,0.531076365,0.947326733,0.070978305,0.011503575,0.0032209,0.006203452
